AAA
AAD
AAD imm8u
AAM
AAM imm8u
AAS
ADC AL, imm8u
ADC AX, imm16
ADC EAX, imm32
ADC RAX, imm32
ADC r/m16, imm16
ADC r/m16, imm8
ADC r/m16, r16
ADC r/m32, imm32
ADC r/m32, imm8
ADC r/m32, r32
ADC r/m64, imm32
ADC r/m64, imm8
ADC r/m64, r64
ADC r/m8, imm8u
ADC r/m8, r8
ADC r16, r/m16
ADC r32, r/m32
ADC r64, r/m64
ADC r8, r/m8
ADD AL, imm8u
ADD AX, imm16
ADD EAX, imm32
ADD RAX, imm32
ADD r/m16, imm16
ADD r/m16, imm8
ADD r/m16, r16
ADD r/m32, imm32
ADD r/m32, imm8
ADD r/m32, r32
ADD r/m64, imm32
ADD r/m64, imm8
ADD r/m64, r64
ADD r/m8, imm8u
ADD r/m8, r8
ADD r16, r/m16
ADD r32, r/m32
ADD r64, r/m64
ADD r8, r/m8
ADDPD xmm1, xmm2/m128
ADDPS xmm1, xmm2/m128
ADDSD xmm1, xmm2/m64
ADDSS xmm1, xmm2/m32
ADDSUBPD xmm1, xmm2/m128
ADDSUBPS xmm1, xmm2/m128
AESDEC xmm1, xmm2/m128
AESDECLAST xmm1, xmm2/m128
AESENC xmm1, xmm2/m128
AESENCLAST xmm1, xmm2/m128
AESIMC xmm1, xmm2/m128
AESKEYGENASSIST xmm1, xmm2/m128, imm8u
AND AL, imm8u
AND AX, imm16
AND EAX, imm32
AND RAX, imm32
AND r/m16, imm16
AND r/m16, imm8
AND r/m16, r16
AND r/m32, imm32
AND r/m32, imm8
AND r/m32, r32
AND r/m64, imm32
AND r/m64, imm8
AND r/m64, r64
AND r/m8, imm8u
AND r/m8, r8
AND r16, r/m16
AND r32, r/m32
AND r64, r/m64
AND r8, r/m8
ANDN r32a, r32b, r/m32
ANDN r64a, r64b, r/m64
ANDNPD xmm1, xmm2/m128
ANDNPS xmm1, xmm2/m128
ANDPD xmm1, xmm2/m128
ANDPS xmm1, xmm2/m128
ARPL r/m16, r16
BEXTR r32a, r/m32, r32b
BEXTR r64a, r/m64, r64b
BLENDPD xmm1, xmm2/m128, imm8u
BLENDPS xmm1, xmm2/m128, imm8u
BLENDVPD xmm1, xmm2/m128, <XMM0>
BLENDVPS xmm1, xmm2/m128, <XMM0>
BLSI r32, r/m32
BLSI r64, r/m64
BLSMSK r32, r/m32
BLSMSK r64, r/m64
BLSR r32, r/m32
BLSR r64, r/m64
BOUND r16, m16&16
BOUND r32, m32&32
BSF r16, r/m16
BSF r32, r/m32
BSF r64, r/m64
BSR r16, r/m16
BSR r32, r/m32
BSR r64, r/m64
BSWAP r16op
BSWAP r32op
BSWAP r64op
BT r/m16, imm8u
BT r/m16, r16
BT r/m32, imm8u
BT r/m32, r32
BT r/m64, imm8u
BT r/m64, r64
BTC r/m16, imm8u
BTC r/m16, r16
BTC r/m32, imm8u
BTC r/m32, r32
BTC r/m64, imm8u
BTC r/m64, r64
BTR r/m16, imm8u
BTR r/m16, r16
BTR r/m32, imm8u
BTR r/m32, r32
BTR r/m64, imm8u
BTR r/m64, r64
BTS r/m16, imm8u
BTS r/m16, r16
BTS r/m32, imm8u
BTS r/m32, r32
BTS r/m64, imm8u
BTS r/m64, r64
BZHI r32a, r/m32, r32b
BZHI r64a, r/m64, r64b
CALL r/m16
CALL r/m32
CALL r/m64
CALL rel16
CALL rel32
CBW
CDQ
CDQE
CLC
CLD
CLFLUSH m8
CLI
CLTS
CMC
CMOVA r16, r/m16
CMOVA r32, r/m32
CMOVA r64, r/m64
CMOVAE r16, r/m16
CMOVAE r32, r/m32
CMOVAE r64, r/m64
CMOVB r16, r/m16
CMOVB r32, r/m32
CMOVB r64, r/m64
CMOVBE r16, r/m16
CMOVBE r32, r/m32
CMOVBE r64, r/m64
CMOVC r16, r/m16
CMOVC r32, r/m32
CMOVC r64, r/m64
CMOVE r16, r/m16
CMOVE r32, r/m32
CMOVE r64, r/m64
CMOVG r16, r/m16
CMOVG r32, r/m32
CMOVG r64, r/m64
CMOVGE r16, r/m16
CMOVGE r32, r/m32
CMOVGE r64, r/m64
CMOVL r16, r/m16
CMOVL r32, r/m32
CMOVL r64, r/m64
CMOVLE r16, r/m16
CMOVLE r32, r/m32
